Species,log_5plus,Day 
pseudomycoides,0.07,14
albus,0.08,14
mobilis,0.14,14
tropicus ,0.14,14
pacificus ,0.07,14
cereus ,0.06,14
thuringiensis,0.15,14
toyonensis,0.21,14
cytotoxicus,0.11,14
pseudomycoides,0.24,21
albus,0.47,21
mobilis,0.61,21
tropicus ,0.76,21
pacificus ,0.49,21
cereus ,0.35,21
thuringiensis,0.88,21
toyonensis,1.06,21
cytotoxicus,0.51,21
pseudomycoides,0.45,35
albus,1.41,35
mobilis,1.61,35
tropicus ,2.11,35
pacificus ,1.57,35
cereus ,1.5,35
thuringiensis,2.53,35
toyonensis,2.88,35
cytotoxicus,1.47,35
