,isolate,rep,LOG10Nmax,temp
1,125,rep1,5.244160205,22
3,193,rep1,7.163288177,22
4,194,rep1,6.591999609,22
5,402,rep1,7.086214239,22
6,407,rep1,6.864739117,22
7,413,rep1,6.990015074,22
8,433,rep1,7.612875,22
9,457,rep1,6.284917118,22
10,474,rep1,7.042409984,22
11,495,rep1,6.986737636,22
12,518,rep1,6.796114954,22
13,536,rep1,6.763044525,22
14,564,rep1,6.874842459,22
15,570,rep1,7.214695891,22
16,638,rep1,7.049742663,22
17,649,rep1,7.13853489,22
18,125,rep2,5.579218984,22
20,193,rep2,6.988367278,22
21,194,rep2,6.741305375,22
22,402,rep2,6.854492436,22
23,407,rep2,6.892470178,22
24,413,rep2,7.531183314,22
25,433,rep2,7.43078,22
26,457,rep2,6.351337976,22
27,474,rep2,7.151878273,22
28,495,rep2,7.051575119,22
29,518,rep2,6.671183844,22
30,536,rep2,6.385933,22
31,564,rep2,6.752775652,22
32,570,rep2,7.18785625,22
33,638,rep2,7.211970312,22
34,649,rep2,6.739964437,22
35,125,rep1,6.169548391,16
37,125,rep2,6.283100627,16
39,193,rep1,5.908262469,10
40,194,rep1,6.710235107,10
41,402,rep1,6.520567909,10
42,407,rep1,6.529408052,10
43,413,rep1,7.3703,10
44,433,rep1,6.194160391,10
45,457,rep1,5.979467726,10
46,474,rep1,6.431442509,10
47,495,rep1,6.569585285,10
48,518,rep1,6.956637123,10
49,536,rep1,6.816527716,10
50,564,rep1,6.659135985,10
51,570,rep1,6.498082277,10
52,638,rep1,6.347004736,10
53,649,rep1,6.140914846,10
54,193,rep2,5.878331191,10
55,194,rep2,6.669800952,10
56,402,rep2,5.007570353,10
57,407,rep2,5.408676395,10
58,413,rep2,6.51331751,10
59,433,rep2,6.018715218,10
60,457,rep2,6.337982956,10
61,474,rep2,5.011676537,10
62,495,rep2,6.357197581,10
63,518,rep2,6.591446538,10
64,536,rep2,6.301540956,10
65,564,rep2,6.493195566,10
66,570,rep2,6.716601051,10
67,638,rep2,5.574036151,10
68,649,rep2,6.458306985,10
